PlotID,brown_patch,crown_rust,anthracnose,Survey.Date
WidenerLT_1,1,0,0,2021-08-12
WidenerLT_1,0,0,1,2021-08-12
WidenerLT_1,1,0,1,2021-08-12
WidenerLT_1,0,1,1,2021-08-12
WidenerLT_1,1,0,1,2021-08-12
WidenerLT_1,1,0,0,2021-08-12
WidenerLT_1,0,0,1,2021-08-12
WidenerLT_1,0,0,1,2021-08-12
WidenerLT_1,0,0,0,2021-08-12
WidenerLT_1,0,0,0,2021-08-12
WidenerLT_1,0,0,0,2021-08-12
WidenerLT_2,0,1,1,2021-08-12
WidenerLT_2,0,0,1,2021-08-12
WidenerLT_2,0,0,1,2021-08-12
WidenerLT_2,0,0,1,2021-08-12
WidenerLT_2,0,0,0,2021-08-12
WidenerLT_2,0,0,1,2021-08-12
WidenerLT_2,0,0,0,2021-08-12
WidenerLT_2,0,1,0,2021-08-12
WidenerLT_2,0,0,0,2021-08-12
WidenerLT_2,1,0,0,2021-08-12
WidenerLT_2,0,0,0,2021-08-12
WidenerLT_3,0,0,1,2021-08-12
WidenerLT_3,0,0,0,2021-08-12
WidenerLT_3,0,0,0,2021-08-12
WidenerLT_3,0,0,1,2021-08-12
WidenerLT_3,0,0,0,2021-08-12
WidenerLT_3,0,0,1,2021-08-12
WidenerLT_3,0,0,1,2021-08-12
WidenerLT_3,0,0,1,2021-08-12
WidenerLT_3,0,0,1,2021-08-12
WidenerLT_3,0,0,1,2021-08-12
WidenerLT_3,0,0,0,2021-08-12
WidenerLT_4,0,0,1,2021-08-12
WidenerLT_4,0,0,1,2021-08-12
WidenerLT_4,0,0,1,2021-08-12
WidenerLT_4,0,0,0,2021-08-12
WidenerLT_4,0,0,1,2021-08-12
WidenerLT_4,0,0,1,2021-08-12
WidenerLT_4,0,0,0,2021-08-12
WidenerLT_4,0,0,1,2021-08-12
WidenerLT_4,0,0,1,2021-08-12
WidenerLT_4,0,0,1,2021-08-12
WidenerLT_4,0,0,0,2021-08-12
WidenerLT_5,0,0,1,2021-08-12
WidenerLT_5,0,0,1,2021-08-12
WidenerLT_5,0,0,1,2021-08-12
WidenerLT_5,1,0,1,2021-08-12
WidenerLT_5,0,0,1,2021-08-12
WidenerLT_5,1,0,0,2021-08-12
WidenerLT_5,1,0,1,2021-08-12
WidenerLT_5,0,0,1,2021-08-12
WidenerLT_5,0,0,1,2021-08-12
WidenerLT_5,1,0,0,2021-08-12
WidenerLT_5,0,0,0,2021-08-12
WidenerLT_6,0,0,0,2021-08-12
WidenerLT_6,0,0,1,2021-08-12
WidenerLT_6,0,0,1,2021-08-12
WidenerLT_6,0,0,0,2021-08-12
WidenerLT_6,0,0,0,2021-08-12
WidenerLT_6,0,0,0,2021-08-12
WidenerLT_6,0,0,0,2021-08-12
WidenerLT_6,0,0,1,2021-08-12
WidenerLT_6,0,0,1,2021-08-12
WidenerLT_6,0,0,1,2021-08-12
WidenerLT_6,0,0,0,2021-08-12
WidenerLT_7,0,0,1,2021-08-12
WidenerLT_7,0,0,0,2021-08-12
WidenerLT_7,0,0,1,2021-08-12
WidenerLT_7,0,0,1,2021-08-12
WidenerLT_7,0,0,0,2021-08-12
WidenerLT_7,0,0,0,2021-08-12
WidenerLT_7,0,1,1,2021-08-12
WidenerLT_7,0,0,1,2021-08-12
WidenerLT_7,0,0,1,2021-08-12
WidenerLT_7,0,0,1,2021-08-12
WidenerLT_7,0,0,0,2021-08-12
WidenerLT_8,0,0,0,2021-08-12
WidenerLT_8,0,0,1,2021-08-12
WidenerLT_8,0,0,1,2021-08-12
WidenerLT_8,0,0,1,2021-08-12
WidenerLT_8,1,0,1,2021-08-12
WidenerLT_8,0,0,1,2021-08-12
WidenerLT_8,1,0,1,2021-08-12
WidenerLT_8,0,0,1,2021-08-12
WidenerLT_8,0,0,1,2021-08-12
WidenerLT_8,0,0,0,2021-08-12
WidenerLT_8,0,0,0,2021-08-12
WidenerLT_9,0,0,1,2021-08-12
WidenerLT_9,0,0,1,2021-08-12
WidenerLT_9,0,0,0,2021-08-12
WidenerLT_9,1,0,1,2021-08-12
WidenerLT_9,1,0,0,2021-08-12
WidenerLT_9,1,0,1,2021-08-12
WidenerLT_9,0,0,1,2021-08-12
WidenerLT_9,0,0,1,2021-08-12
WidenerLT_9,0,0,0,2021-08-12
WidenerLT_9,0,0,1,2021-08-12
WidenerLT_9,0,0,0,2021-08-12
WidenerLT_10,0,0,0,2021-08-12
WidenerLT_10,0,0,1,2021-08-12
WidenerLT_10,0,0,0,2021-08-12
WidenerLT_10,0,0,0,2021-08-12
WidenerLT_10,0,0,0,2021-08-12
WidenerLT_10,0,0,0,2021-08-12
WidenerLT_10,1,0,0,2021-08-12
WidenerLT_10,0,0,1,2021-08-12
WidenerLT_10,0,0,1,2021-08-12
WidenerLT_10,0,0,1,2021-08-12
WidenerLT_10,0,0,0,2021-08-12
WidenerLT_11,1,0,0,2021-08-12
WidenerLT_11,0,0,1,2021-08-12
WidenerLT_11,1,0,1,2021-08-12
WidenerLT_11,1,0,0,2021-08-12
WidenerLT_11,1,0,0,2021-08-12
WidenerLT_11,1,0,0,2021-08-12
WidenerLT_11,1,0,0,2021-08-12
WidenerLT_11,0,0,1,2021-08-12
WidenerLT_11,1,0,0,2021-08-12
WidenerLT_11,1,0,0,2021-08-12
WidenerLT_11,0,0,0,2021-08-12
WidenerLT_12,0,0,1,2021-08-12
WidenerLT_12,1,0,1,2021-08-12
WidenerLT_12,1,0,1,2021-08-12
WidenerLT_12,0,1,1,2021-08-12
WidenerLT_12,1,0,0,2021-08-12
WidenerLT_12,1,0,0,2021-08-12
WidenerLT_12,1,0,1,2021-08-12
WidenerLT_12,1,0,0,2021-08-12
WidenerLT_12,0,0,0,2021-08-12
WidenerLT_12,1,0,1,2021-08-12
WidenerLT_12,0,0,0,2021-08-12
WidenerLT_13,1,0,0,2021-08-12
WidenerLT_13,0,0,0,2021-08-12
WidenerLT_13,1,0,1,2021-08-12
WidenerLT_13,0,0,0,2021-08-12
WidenerLT_13,0,0,0,2021-08-12
WidenerLT_13,0,0,1,2021-08-12
WidenerLT_13,0,0,1,2021-08-12
WidenerLT_13,0,0,1,2021-08-12
WidenerLT_13,0,0,1,2021-08-12
WidenerLT_13,0,0,1,2021-08-12
WidenerLT_13,0,0,0,2021-08-12
WidenerLT_14,0,1,1,2021-08-12
WidenerLT_14,0,0,1,2021-08-12
WidenerLT_14,0,0,1,2021-08-12
WidenerLT_14,0,0,1,2021-08-12
WidenerLT_14,0,0,1,2021-08-12
WidenerLT_14,0,0,1,2021-08-12
WidenerLT_14,0,0,1,2021-08-12
WidenerLT_14,0,0,1,2021-08-12
WidenerLT_14,0,0,1,2021-08-12
WidenerLT_14,1,0,0,2021-08-12
WidenerLT_14,0,0,0,2021-08-12
WidenerLT_15,0,0,1,2021-08-12
WidenerLT_15,0,1,0,2021-08-12
WidenerLT_15,0,0,0,2021-08-12
WidenerLT_15,0,0,1,2021-08-12
WidenerLT_15,0,0,1,2021-08-12
WidenerLT_15,0,0,0,2021-08-12
WidenerLT_15,1,0,0,2021-08-12
WidenerLT_15,0,0,0,2021-08-12
WidenerLT_15,1,0,0,2021-08-12
WidenerLT_15,1,0,1,2021-08-12
